x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
3.51361,12.0929,11.3569,8.87546,-10.8871,-11.1739,-7.54647,-0.966543,2.71375,6.95167
3.51803,12.1264,11.368,8.62454,-11.1862,-11.5437,-8.10409,-1.52416,2.15613,6.44981
3.52245,12.1599,11.3792,8.37361,-11.4853,-11.9135,-8.66171,-2.08178,1.78439,5.94796
3.52687,12.1933,11.3903,8.12268,-11.7844,-12.2833,-9.14498,-2.63941,1.41264,5.57621
3.53129,12.2181,11.4015,7.87175,-12.0446,-12.6531,-9.62825,-3.19703,1.04089,5.20446
3.53571,12.2429,11.4126,7.62082,-12.3048,-13.0229,-10.1115,-3.56877,0.539033,4.83271
3.54014,12.2677,11.4374,7.36989,-12.5651,-13.3927,-10.5948,-3.94052,0.0371747,4.27509
3.54456,12.2924,11.4622,7.11896,-12.8253,-13.7625,-11.0781,-4.31227,-0.334572,3.71747
3.5534,12.342,11.5118,6.6171,-13.3457,-14.5021,-12.0446,-5.31599,-1.07807,3.04833
3.55782,12.3668,11.5366,6.24535,-13.6059,-14.8718,-12.5279,-5.87361,-1.63569,2.71375
3.56224,12.3916,11.5613,5.87361,-13.8662,-15.2416,-13.0112,-6.43123,-2.19331,2.15613
3.56667,12.4164,11.5861,5.50186,-14.1264,-15.5316,-13.4944,-6.98885,-2.75093,1.59851
3.57109,12.4387,11.6109,5.25093,-14.3866,-15.8216,-13.9777,-7.54647,-3.30855,1.04089
3.57551,12.461,11.6357,5,-14.6468,-16.1115,-14.461,-7.91822,-3.81041,0.483271
3.57993,12.4833,11.658,4.74907,-14.9071,-16.4015,-14.9442,-8.28996,-4.31227,0.111524
3.58435,12.5056,11.6803,4.49814,-15.1673,-16.6914,-15.4275,-8.66171,-4.86989,-0.260223
3.58878,12.5279,11.7026,4.12639,-15.4275,-16.9814,-15.9108,-9.16357,-5.42751,-0.63197
3.5932,12.5502,11.7249,3.75465,-15.6877,-17.2714,-16.2825,-9.66543,-5.98513,-1.13383
3.59762,12.5725,11.7472,3.3829,-15.8398,-17.5613,-16.6543,-10.223,-6.54275,-1.63569
3.60204,12.5948,11.7695,3.04833,-15.9919,-17.8513,-17.026,-10.7807,-7.10037,-2.19331
3.60646,12.6171,11.7918,2.71375,-16.144,-18.1413,-17.3978,-11.3383,-7.65799,-2.75093
